T,RH,WS,PET,PMV,PPD,SET,RWS,CE,Height,PETH,PMVH
37.51,60.13,5.98,40.7,2.51,94,36.7,3.47,12.5,30,44.2,2.91
35.5,65.45,5.78,38.1,2.38,91,36.5,3.44,12.3,36,43.8,2.91
33.69,71.35,6.13,35.7,2.18,84,36.1,3.53,12.5,42,43.7,2.9
32.64,75.11,6.19,34.4,2.03,78,35.8,3.59,12.6,48,43.6,2.89
32.02,78.41,6.29,33.6,1.93,73,35.6,3.67,12.6,54,43.5,2.89
31.58,80.9,6.27,33,1.84,69,35.4,3.71,12.7,60,43.3,2.87
31.15,82.4,6.26,32.5,1.76,65,35.2,3.72,12.8,66,43.2,2.87
30.62,84.28,6.18,31.8,1.71,62,35.1,3.66,12.8,72,43.1,2.86
30.13,86.21,6.67,31.1,1.58,55,34.8,3.61,13.1,78,43,2.86
29.85,87.28,6.92,30.7,1.34,42,34.7,3.6,14.1,84,42.9,2.85
29.61,88.13,7.68,30.3,1.3,40,34.6,3.52,14.1,90,42.8,2.83
29.34,89.22,8.24,29.8,1.9,40,34.6,3.43,14,96,42.6,2.82
29.24,89.59,8.73,29.6,1.25,38,34.5,3.46,14.1,102,42.5,2.81
29.28,88.6,8.08,29.7,1.28,39,34.5,4.31,14.4,0,46.4,2.14
30.38,81.59,8.04,31.1,1.46,49,34.9,4.31,14.3,6,45.5,2.1
31.47,77.36,8.07,32.5,1.78,66,35.1,4.57,13.4,12,45.3,2.06
32.4,73.47,7.85,33.7,1.92,73,35.3,4.73,13.4,18,45.1,2.02
33.45,69.25,8.49,35,2.08,80,35.7,4.8,13.3,24,45,1.97
34.29,66.86,9.08,36.1,2.18,84,35.9,4.9,13.2,30,44.8,1.95
34.89,65.54,8.02,37,2.24,86,36,4.9,13.1,36,44.5,1.94
35.05,66.25,6.48,37.4,2.33,89,36.2,4.9,13,42,44.4,1.93
34.28,69.46,6.27,36.5,2.31,89,36.2,4.9,12.9,48,44.2,1.92
